20,72,344,148,11,81,1
2,34,68,263,135,7,1
3,25,98,357,32,12,1
4,37,65,291,157,8,0
5,34,151,162,169,18,1
6,30,178,259,146,32,1
7,20,35,134,37,23,0
8,39,111,169,87,4,0
9,22,44,265,136,14,1
10,39,151,219,140,2,0
11,21,179,184,64,18,1
12,25,41,241,71,16,1
13,18,171,286,131,35,1
14,32,33,236,102,29,1
15,20,133,226,124,17,1
16,17,148,236,66,32,1
17,34,111,214,57,5,0
18,24,85,163,155,14,1
19,32,165,276,146,33,1
20,25,124,359,171,33,0
21,31,51,167,47,25,0
22,31,63,352,58,22,1
23,16,58,164,45,13,0
24,29,37,326,104,33,1
25,34,47,197,59,5,0
26,36,123,185,165,26,0
27,25,126,171,45,23,1
28,31,84,98,37,30,1
29,30,92,153,114,14,0
30,29,178,278,146,27,1
