20,72,344,148,11,81,1,1
2,34,68,263,135,7,50,1
3,25,98,357,32,12,64,1
4,37,65,291,157,8,89,0
5,34,151,162,169,18,63,1
6,30,178,259,146,32,50,1
7,20,35,134,37,23,68,0
8,39,111,169,87,4,52,0
9,22,44,265,136,14,76,1
10,39,151,219,140,2,55,0
11,21,179,184,64,18,60,1
12,25,41,241,71,16,72,1
13,18,171,286,131,35,89,1
14,32,33,236,102,29,50,1
15,20,133,226,124,17,81,1
16,17,148,236,66,32,75,1
17,34,111,214,57,5,88,0
18,24,85,163,155,14,32,1
19,32,165,276,146,33,52,1
20,25,124,359,171,33,70,0
21,31,51,167,47,25,47,0
22,31,63,352,58,22,44,1
23,16,58,164,45,13,73,0
24,29,37,326,104,33,68,1
25,34,47,197,59,5,66,0
26,36,123,185,165,26,70,0
27,25,126,171,45,23,33,1
28,31,84,98,37,30,51,1
29,30,92,153,114,14,48,0
30,29,178,278,146,27,45,1
